g_id,title,g_brand,link,description
SW-9862,Sony DCR-SR32E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr32e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR32E  with your computer's USB port. This cable is a type A male to a type mini B male.
SW-9861,Sony DCR-SR30E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr30e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR30E  with your computer's USB port. This cable also allows you to connect your computer to other Mini USB devices. 
SW-9860,Sony DCR-SR300  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr300--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR300  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9859,Sony DCR-SR290E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr290e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR290E  with your computer's USB port. Also you can use this cable to connect your computer to other Mini USB Devices.
SW-9858,Sony DCR-SR220  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr220--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR220  with your computer's USB port. This cable also allows you to connect your computer to other Mini USB devices.
SW-9857,Sony DCR-SR210E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr210e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR210E  with your computer's USB port. This cable also allows you to connect other Mini USB Devices to your computer.
SW-9856,Sony DCR-SR200C  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr200c--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR200C  with your computer's USB port. Will also work with other mini USB devices such as cell phones video cameras GPS units etc.
SW-9855,Sony DCR-SR200  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr200--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR200  with your computer's USB port. This cable can also be used with other mini-USB applications.
SW-9854,Sony DCR-SR190E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr190e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR190E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9853,Sony DCR-TRV950 USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-trv950-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-TRV950 with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
